id,date,time,x,y
62,2004/1/1,1:5:0,160,572.8,
63,2004/1/1,1:5:0,71.6,768.2,
64,2004/1/1,1:5:0,476.8,677.8,
65,2004/1/1,1:5:0,361.4,584.4,
66,2004/1/1,1:5:0,128.2,160.6,
67,2004/1/1,1:5:0,301.6,369.2,
68,2004/1/1,1:5:0,570.2,1120.4,
69,2004/1/1,1:5:0,587.8,579.8,
70,2004/1/1,1:5:0,722,464.6,
71,2004/1/1,1:5:0,445.4,160.6,
72,2004/1/1,1:5:0,740.2,31.6,
73,2004/1/1,1:5:0,266.8,991.6,
74,2004/1/1,1:5:0,742,889.0,
75,2004/1/1,1:5:0,558.8,582.0,
76,2004/1/1,1:5:0,275,604.0,
77,2004/1/1,1:5:0,607,694.0,
78,2004/1/1,1:5:0,89,893.8,
79,2004/1/1,1:5:0,754.4,69.6,
80,2004/1/1,1:5:0,138,550.4,
81,2004/1/1,1:5:0,647.8,192.2,
82,2004/1/1,1:5:0,556.8,583.4,
83,2004/1/1,1:5:0,353,257.8,
84,2004/1/1,1:5:0,625.8,706.4,
85,2004/1/1,1:5:0,202.8,715.6,
86,2004/1/1,1:5:0,120.2,1198.8,
87,2004/1/1,1:5:0,691.6,249.4,
88,2004/1/1,1:5:0,738.6,801.2,
89,2004/1/1,1:5:0,281.8,697.4,
